pais_iso,pais,indicador_code,indicador,anio,valor
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2023,33.67
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2022,38.82
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2021,37.66
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2020,32.3
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2019,28.89
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2018,28.88
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2017,24.32
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2016,24.53
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2015,26.95
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2014,24.69
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2013,25.79
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2012,25.11
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2011,23.93
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2010,22.77
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2009,22.11
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2008,27.26
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2007,25.29
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2006,26.04
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2005,27.09
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2004,29.68
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2003,28.14
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2002,27.62
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2001,26.94
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2000,22.64
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1999,20.98
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1998,16.44
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1997,16.58
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1996,15.64
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1995,16.98
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1994,18.67
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1993,19.6
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1992,19.25
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1991,16.59
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1990,15.16
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1989,14.39
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1988,17.77
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1987,16.26
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1986,15.86
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1985,20.45
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1984,23.83
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1983,21.9
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1982,16.49
